,close,high,low,open,volume
2013-02-18 09:31:00,10.61,10.72,10.6,10.68,25162731
2013-02-18 09:32:00,10.62,10.64,10.61,10.61,2733062
2013-02-18 09:33:00,10.63,10.64,10.62,10.62,4328987
2013-02-18 09:34:00,10.58,10.63,10.57,10.63,8219454
2013-02-18 09:35:00,10.54,10.58,10.53,10.58,4494612
2013-02-18 09:36:00,10.56,10.57,10.52,10.54,5789863
2013-02-18 09:37:00,10.58,10.59,10.56,10.57,1519718
2013-02-18 09:38:00,10.58,10.59,10.57,10.59,2524883
2013-02-18 09:39:00,10.59,10.59,10.57,10.58,1459334
2013-02-18 09:40:00,10.58,10.59,10.57,10.59,2715552
2013-02-18 09:41:00,10.58,10.59,10.57,10.57,1619819
2013-02-18 09:42:00,10.59,10.6,10.57,10.58,2223621
2013-02-18 09:43:00,10.58,10.6,10.58,10.59,3520133
2013-02-18 09:44:00,10.57,10.6,10.57,10.58,2473780
2013-02-18 09:45:00,10.56,10.59,10.56,10.57,3378238
2013-02-18 09:46:00,10.58,10.59,10.56,10.57,2229478
2013-02-18 09:47:00,10.59,10.6,10.57,10.58,2431460
2013-02-18 09:48:00,10.59,10.6,10.58,10.59,1333196
2013-02-18 09:49:00,10.58,10.59,10.57,10.59,3389219
2013-02-18 09:50:00,10.56,10.59,10.55,10.58,3382733
2013-02-18 09:51:00,10.52,10.55,10.51,10.55,3716470
2013-02-18 09:52:00,10.52,10.54,10.5,10.52,2536951
2013-02-18 09:53:00,10.52,10.54,10.51,10.52,1707583
2013-02-18 09:54:00,10.55,10.55,10.52,10.52,844305
2013-02-18 09:55:00,10.54,10.55,10.53,10.55,740386
2013-02-18 09:56:00,10.54,10.55,10.53,10.54,820419
2013-02-18 09:57:00,10.54,10.55,10.53,10.54,573984
2013-02-18 09:58:00,10.54,10.54,10.53,10.54,666030
2013-02-18 09:59:00,10.53,10.54,10.52,10.54,1157234
2013-02-18 10:00:00,10.54,10.55,10.53,10.53,1018640
2013-02-18 10:01:00,10.54,10.55,10.52,10.55,957293
2013-02-18 10:02:00,10.53,10.54,10.52,10.54,377451
2013-02-18 10:03:00,10.54,10.54,10.53,10.54,677060
2013-02-18 10:04:00,10.54,10.55,10.53,10.53,563594
2013-02-18 10:05:00,10.57,10.57,10.54,10.54,1415471
2013-02-18 10:06:00,10.58,10.58,10.56,10.57,1581926
2013-02-18 10:07:00,10.59,10.59,10.57,10.58,1032039
2013-02-18 10:08:00,10.59,10.59,10.58,10.59,976825
2013-02-18 10:09:00,10.59,10.6,10.58,10.59,967349
2013-02-18 10:10:00,10.59,10.6,10.59,10.59,1054882
2013-02-18 10:11:00,10.58,10.59,10.57,10.59,1121855
2013-02-18 10:12:00,10.57,10.58,10.56,10.57,757104
2013-02-18 10:13:00,10.56,10.57,10.56,10.56,612672
2013-02-18 10:14:00,10.56,10.57,10.55,10.56,887359
2013-02-18 10:15:00,10.59,10.59,10.56,10.56,1563253
2013-02-18 10:16:00,10.59,10.59,10.58,10.59,726282
2013-02-18 10:17:00,10.59,10.59,10.57,10.59,396756
2013-02-18 10:18:00,10.59,10.6,10.58,10.59,1405478
2013-02-18 10:19:00,10.62,10.63,10.59,10.59,1090935
2013-02-18 10:20:00,10.65,10.66,10.62,10.63,2101972
2013-02-18 10:21:00,10.68,10.7,10.65,10.66,3251005
2013-02-18 10:22:00,10.72,10.75,10.68,10.69,6834700
