,close,high,low,open,volume
2013-02-04 09:30:00,2431.7651,2432.0778,2428.4169,2428.4169,0
2013-02-04 09:31:00,2430.877,2432.6731,2430.877,2432.3074,0
2013-02-04 09:32:00,2430.5167,2432.2401,2430.5167,2432.2401,0
2013-02-04 09:33:00,2430.6921,2431.0738,2430.099,2430.7698,0
2013-02-04 09:34:00,2430.1396,2431.2976,2429.822,2430.6312,0
2013-02-04 09:35:00,2431.6122,2431.6122,2429.9573,2430.2475,0
2013-02-04 09:36:00,2433.7212,2433.7521,2431.6554,2431.6554,0
2013-02-04 09:37:00,2435.5811,2435.5811,2433.2633,2433.2633,0
2013-02-04 09:38:00,2434.6965,2436.2004,2434.4931,2436.2004,0
2013-02-04 09:39:00,2436.4818,2436.4818,2434.6206,2434.9871,0
2013-02-04 09:40:00,2435.6458,2435.9775,2434.5573,2435.8106,0
2013-02-04 09:41:00,2434.5868,2435.7401,2434.2536,2435.7401,0
2013-02-04 09:42:00,2434.101,2434.3597,2433.3849,2434.3013,0
2013-02-04 09:43:00,2431.9299,2433.2596,2431.6138,2432.4799,0
2013-02-04 09:44:00,2431.1461,2431.9374,2430.772,2431.9374,0
2013-02-04 09:45:00,2431.4938,2431.528,2430.6737,2431.528,0
2013-02-04 09:46:00,2431.9358,2432.043,2430.5817,2431.2861,0
2013-02-04 09:47:00,2433.3146,2433.3146,2431.4229,2431.4229,0
2013-02-04 09:48:00,2435.2282,2435.4076,2433.7049,2434.5051,0
2013-02-04 09:49:00,2435.2429,2435.6904,2434.0364,2434.6926,0
2013-02-04 09:50:00,2435.009,2435.2803,2434.3083,2434.4218,0
2013-02-04 09:51:00,2437.368,2437.368,2434.8219,2434.8219,0
2013-02-04 09:52:00,2439.1891,2439.1891,2436.5217,2436.5217,0
2013-02-04 09:53:00,2436.8209,2440.012,2436.656,2439.157,0
2013-02-04 09:54:00,2438.7355,2438.7355,2436.4134,2436.4134,0
2013-02-04 09:55:00,2438.9019,2439.0696,2437.1158,2437.7559,0
2013-02-04 09:56:00,2440.3727,2440.3727,2438.9457,2439.2455,0
2013-02-04 09:57:00,2439.1193,2440.1504,2438.9046,2440.1504,0
2013-02-04 09:58:00,2434.3303,2439.3233,2434.0603,2439.3233,0
2013-02-04 09:59:00,2430.2831,2433.8578,2430.2831,2433.8578,0
2013-02-04 10:00:00,2426.5128,2429.6539,2426.5128,2429.6227,0
2013-02-04 10:01:00,2424.4892,2425.9093,2423.8643,2425.647,0
2013-02-04 10:02:00,2423.8857,2425.2527,2422.8151,2423.6432,0
2013-02-04 10:03:00,2424.0556,2425.363,2423.8667,2425.2724,0
2013-02-04 10:04:00,2425.239,2425.8564,2423.9785,2425.2127,0
2013-02-04 10:05:00,2427.0783,2427.0783,2424.9995,2425.4933,0
2013-02-04 10:06:00,2427.2467,2427.4981,2425.8905,2426.0961,0
2013-02-04 10:07:00,2430.6271,2430.6271,2426.8379,2426.8379,0
2013-02-04 10:08:00,2430.9983,2430.9983,2429.6896,2430.815,0
2013-02-04 10:09:00,2430.484,2430.9295,2430.2944,2430.7697,0
2013-02-04 10:10:00,2429.8781,2430.9255,2429.7975,2430.4055,0
2013-02-04 10:11:00,2429.461,2430.0748,2429.099,2429.8881,0
2013-02-04 10:12:00,2428.0931,2429.6962,2428.0878,2429.6962,0
2013-02-04 10:13:00,2427.5581,2428.3583,2427.4482,2428.0304,0
2013-02-04 10:14:00,2427.6536,2427.9297,2426.5626,2427.1772,0
2013-02-04 10:15:00,2427.978,2427.978,2426.2611,2427.493,0
2013-02-04 10:16:00,2428.5254,2429.872,2427.632,2428.2549,0
2013-02-04 10:17:00,2430.4377,2430.5767,2428.8834,2428.8834,0
2013-02-04 10:18:00,2433.4278,2433.4278,2430.2847,2431.0717,0
2013-02-04 10:19:00,2435.7624,2436.0859,2433.406,2433.406,0
2013-02-04 10:20:00,2437.3588,2437.4271,2435.4074,2436.4886,0
2013-02-04 10:21:00,2438.3321,2438.9427,2437.2017,2437.2017,0
2013-02-04 10:22:00,2438.8,2439.3926,2438.1107,2438.6966,0
2013-02-04 10:23:00,2438.0802,2438.8599,2438.0428,2438.8599,0
2013-02-04 10:24:00,2437.2562,2438.391,2437.0501,2438.391,0
2013-02-04 10:25:00,2437.6777,2437.9685,2436.2156,2437.5807,0
2013-02-04 10:26:00,2436.7981,2437.2659,2436.2853,2436.8511,0
2013-02-04 10:27:00,2437.442,2438.1126,2436.7052,2436.8982,0
2013-02-04 10:28:00,2437.9052,2437.9052,2436.4637,2437.1564,0
2013-02-04 10:29:00,2436.2476,2437.6658,2435.8756,2437.1346,0
2013-02-04 10:30:00,2435.3985,2436.5775,2435.073,2435.8765,0
2013-02-04 10:31:00,2432.6,2434.9636,2432.6,2434.9636,0
2013-02-04 10:32:00,2431.2672,2433.262,2431.1604,2433.262,0
2013-02-04 10:33:00,2430.8902,2431.7082,2430.317,2431.7082,0
2013-02-04 10:34:00,2429.2572,2430.1895,2429.2572,2429.7451,0
2013-02-04 10:35:00,2427.8048,2429.0968,2427.668,2428.8123,0
2013-02-04 10:36:00,2428.6228,2429.3831,2427.3112,2428.5275,0
2013-02-04 10:37:00,2431.6611,2432.4319,2429.8544,2430.4182,0
2013-02-04 10:38:00,2432.3956,2432.3956,2431.3169,2431.7434,0
2013-02-04 10:39:00,2433.7073,2433.7073,2431.8797,2432.0384,0
2013-02-04 10:40:00,2433.3275,2433.8982,2433.0536,2433.6493,0
2013-02-04 10:41:00,2432.3357,2433.9596,2432.3357,2433.7241,0
2013-02-04 10:42:00,2430.5391,2432.4843,2430.5391,2432.3078,0
2013-02-04 10:43:00,2429.1077,2431.0375,2428.9138,2431.0375,0
2013-02-04 10:44:00,2430.6068,2430.9219,2429.5274,2429.5274,0
2013-02-04 10:45:00,2429.0757,2430.3473,2428.7444,2429.8655,0
2013-02-04 10:46:00,2430.0629,2430.0629,2428.0305,2428.819,0
2013-02-04 10:47:00,2427.5744,2429.9031,2427.3916,2428.8946,0
2013-02-04 10:48:00,2425.5602,2427.4967,2424.8322,2427.4967,0
2013-02-04 10:49:00,2420.8632,2424.3267,2420.8632,2424.3267,0
2013-02-04 10:50:00,2418.5949,2420.6957,2417.7089,2420.6957,0
2013-02-04 10:51:00,2420.0339,2421.4019,2418.0396,2419.3555,0
2013-02-04 10:52:00,2420.9385,2422.0723,2420.427,2421.0919,0
2013-02-04 10:53:00,2420.7723,2422.2429,2420.4985,2421.0203,0
2013-02-04 10:54:00,2422.9444,2422.9444,2420.244,2421.2233,0
2013-02-04 10:55:00,2421.9281,2422.6866,2421.3723,2422.0125,0
2013-02-04 10:56:00,2422.0126,2422.1586,2421.1289,2422.1461,0
2013-02-04 10:57:00,2422.1763,2422.6193,2421.3471,2421.9911,0
2013-02-04 10:58:00,2421.5031,2422.6348,2421.1666,2421.8218,0
2013-02-04 10:59:00,2422.3122,2423.1658,2421.8706,2421.8706,0
2013-02-04 11:00:00,2423.722,2423.905,2422.8441,2423.7401,0
2013-02-04 11:01:00,2423.6554,2424.402,2422.5581,2423.3692,0
2013-02-04 11:02:00,2424.7148,2425.6262,2423.8909,2423.9727,0
2013-02-04 11:03:00,2425.4827,2426.0592,2424.9642,2424.9642,0
2013-02-04 11:04:00,2426.28,2426.8946,2425.4584,2426.5349,0
2013-02-04 11:05:00,2427.2875,2427.4402,2425.9841,2426.9883,0
2013-02-04 11:06:00,2427.0233,2427.1805,2426.3043,2426.7729,0
