,close,high,low,open,volume
2013-02-18 09:31:00,2441.0046,2444.6449,2441.0046,2443.3696,0
2013-02-18 09:32:00,2440.1073,2441.9014,2439.3369,2441.9014,0
2013-02-18 09:33:00,2436.587,2439.6823,2436.587,2438.9639,0
2013-02-18 09:34:00,2436.9136,2437.247,2435.9973,2437.247,0
2013-02-18 09:35:00,2435.7018,2436.6156,2434.9543,2435.8561,0
2013-02-18 09:36:00,2435.3466,2435.7531,2434.7689,2435.5954,0
2013-02-18 09:37:00,2434.0926,2435.614,2434.0926,2434.7651,0
2013-02-18 09:38:00,2434.7815,2434.9806,2433.6359,2433.6359,0
2013-02-18 09:39:00,2434.8892,2435.1971,2434.4545,2434.9113,0
2013-02-18 09:40:00,2436.4891,2436.4891,2434.7809,2435.27,0
2013-02-18 09:41:00,2435.8198,2437.2038,2435.8198,2436.7234,0
2013-02-18 09:42:00,2438.1644,2438.1644,2436.5582,2437.0589,0
2013-02-18 09:43:00,2438.0859,2438.7741,2436.9023,2437.9416,0
2013-02-18 09:44:00,2438.4104,2438.6682,2437.1491,2438.4762,0
2013-02-18 09:45:00,2438.6519,2439.3065,2437.8403,2439.3065,0
2013-02-18 09:46:00,2438.5729,2439.6375,2438.5729,2438.824,0
2013-02-18 09:47:00,2439.2943,2439.5954,2437.6207,2438.8921,0
2013-02-18 09:48:00,2438.054,2440.0141,2437.7839,2439.2868,0
2013-02-18 09:49:00,2436.4471,2438.9008,2436.4471,2438.8331,0
2013-02-18 09:50:00,2429.8838,2437.1281,2429.8838,2437.1281,0
2013-02-18 09:51:00,2429.748,2430.4761,2428.8218,2430.1739,0
2013-02-18 09:52:00,2428.9118,2431.091,2428.6407,2429.6429,0
2013-02-18 09:53:00,2428.2062,2429.8672,2428.2062,2428.9708,0
2013-02-18 09:54:00,2429.9134,2431.2866,2428.7149,2428.7149,0
2013-02-18 09:55:00,2430.685,2431.9295,2430.2946,2430.842,0
2013-02-18 09:56:00,2431.7101,2432.1213,2431.2141,2431.3623,0
2013-02-18 09:57:00,2432.4296,2432.6221,2431.6104,2432.1547,0
2013-02-18 09:58:00,2432.5485,2433.2571,2431.807,2432.1815,0
2013-02-18 09:59:00,2432.2119,2432.9359,2431.7955,2432.5575,0
2013-02-18 10:00:00,2432.225,2432.9353,2431.6992,2432.1618,0
2013-02-18 10:01:00,2432.4338,2432.8608,2431.8836,2432.5563,0
2013-02-18 10:02:00,2433.9633,2434.3896,2432.8677,2432.8677,0
2013-02-18 10:03:00,2434.3521,2434.5636,2433.41,2433.4654,0
2013-02-18 10:04:00,2435.7577,2435.7577,2434.3702,2434.6138,0
2013-02-18 10:05:00,2436.6208,2436.9626,2435.7469,2436.0139,0
2013-02-18 10:06:00,2437.8194,2438.1359,2436.343,2436.4567,0
2013-02-18 10:07:00,2436.7822,2438.2618,2436.3497,2438.1214,0
2013-02-18 10:08:00,2437.4109,2438.4113,2436.3945,2436.9614,0
2013-02-18 10:09:00,2437.0946,2437.9851,2436.8566,2436.9401,0
2013-02-18 10:10:00,2436.7022,2437.4275,2436.2455,2437.4275,0
2013-02-18 10:11:00,2436.5555,2437.2332,2435.625,2437.2332,0
2013-02-18 10:12:00,2435.7327,2437.0473,2435.3973,2437.0473,0
2013-02-18 10:13:00,2435.6345,2436.3707,2435.6114,2436.2126,0
2013-02-18 10:14:00,2435.5838,2436.2649,2435.147,2435.492,0
2013-02-18 10:15:00,2435.8133,2436.6013,2435.1698,2435.1698,0
2013-02-18 10:16:00,2436.7321,2436.7321,2435.7488,2435.8645,0
2013-02-18 10:17:00,2435.9144,2437.1033,2435.9144,2436.6562,0
